BATTING,RUNS,FOURS,SIXES,STRICK RATE,BATTING_TEAM
Jonny Bairstow,33,4,1,94.28,England
Dawid Malan,14,2,0,58.33,England
Joe Root,77,4,1,89.53,England
Harry Brook,25,4,1,156.25,England
Moeen Ali,11,1,0,64.7,England
Jos Buttler(c) wk ,43,2,2,102.38,England
Liam Livingstone,20,3,0,90.9,England
Sam Curran,14,0,0,73.68,England
Chris Woakes,11,1,0,91.66,England
Adil Rashid,15,0,1,115.38,England
Mark Wood,13,0,0,92.85,England
Devon Conway,152,19,3,125.61,New-Zealand
Will Young,0,0,0,0,New-Zealand
Rachin Ravindra,123,11,5,128.12,New-Zealand
Fakhar Zaman,12,3,0,80,Pakistan
Imam-ul-Haq,15,2,0,78.94,Pakistan
Babar Azam(c),5,0,0,27.77,Pakistan
Mohammad Rizwan wk ,68,8,0,90.66,Pakistan
Saud Shakeel,68,9,1,130.76,Pakistan
Iftikhar Ahmed,9,1,0,81.81,Pakistan
Mohammad Nawaz,39,4,0,90.69,Pakistan
Shadab Khan,32,2,1,94.11,Pakistan
Hasan Ali,0,0,0,0,Pakistan
Shaheen Shah Afridi,13,2,0,108.33,Pakistan
Haris Rauf,16,2,1,114.28,Pakistan
Vikramjit Singh,52,4,1,77.61,Netherlands
Max O'Dowd,5,1,0,41.66,Netherlands
Colin Ackermann,17,3,0,80.95,Netherlands
Bas de Leede,67,6,2,98.52,Netherlands
Teja Nidamanuru,5,1,0,55.55,Netherlands
Scott Edwards(c) wk ,0,0,0,0,Netherlands
Saqib Zulfiqar,10,1,0,55.55,Netherlands
Roelof van der Merwe,4,0,0,57.14,Netherlands
Logan van Beek,28,3,1,100,Netherlands
Aryan Dutt,1,0,0,50,Netherlands
Paul van Meekeren,7,1,0,58.33,Netherlands
Rahmanullah Gurbaz wk ,47,4,1,75.8,Afghanistan
Ibrahim Zadran,22,3,1,88,Afghanistan
Rahmat Shah,18,1,0,72,Afghanistan
Hashmatullah Shahidi(c),18,2,0,47.36,Afghanistan
Najibullah Zadran,5,0,0,38.46,Afghanistan
Mohammad Nabi,6,0,0,50,Afghanistan
Azmatullah Omarzai,22,4,0,110,Afghanistan
Rashid Khan,9,1,0,56.25,Afghanistan
Mujeeb Ur Rahman,1,0,0,25,Afghanistan
Naveen-ul-Haq,0,0,0,0,Afghanistan
Fazalhaq Farooqi,0,0,0,0,Afghanistan
Tanzid Hasan,5,1,0,38.46,Bangladesh
Litton Das,13,2,0,72.22,Bangladesh
Mehidy Hasan Miraz,57,5,0,78.08,Bangladesh
Najmul Hossain Shanto,59,3,1,71.08,Bangladesh
Shakib Al Hasan(c),14,2,0,73.68,Bangladesh
Mushfiqur Rahim wk ,2,0,0,66.66,Bangladesh
Quinton de Kock wk ,100,12,3,119.04,South-Africa
Temba Bavuma(c),8,2,0,160,South-Africa
Rassie van der Dussen,108,13,2,98.18,South-Africa
Aiden Markram,106,14,3,196.29,South-Africa
Heinrich Klaasen,32,1,3,160,South-Africa
David Miller,39,3,2,185.71,South-Africa
Marco Jansen,12,0,1,171.42,South-Africa
Pathum Nissanka,0,0,0,0,Sri-Lanka
Kusal Perera,7,1,0,46.66,Sri-Lanka
Kusal Mendis wk ,76,4,8,180.95,Sri-Lanka
Sadeera Samarawickrama,23,3,1,121.05,Sri-Lanka
Charith Asalanka,79,8,4,121.53,Sri-Lanka
Dhananjaya de Silva,11,1,0,78.57,Sri-Lanka
Dasun Shanaka(c),68,6,3,109.67,Sri-Lanka
Dunith Wellalage,0,0,0,0,Sri-Lanka
Kasun Rajitha,33,4,1,106.45,Sri-Lanka
Matheesha Pathirana,5,1,0,31.25,Sri-Lanka
Dilshan Madushanka,4,1,0,200,Sri-Lanka
David Warner,41,6,0,78.84,Australia
