BOWLING,OVERS,MAIDEN,WICKETS,ECONOMY,ZEROES,WIDE BALLS,NO BALLS,BOWLING_TEAM
Trent Boult,10,1,1,4.8,34,1,0,New-Zealand
Matt Henry,10,1,3,4.8,31,0,0,New-Zealand
Mitchell Santner,10,0,2,3.7,26,1,0,New-Zealand
James Neesham,7,0,0,8,15,2,0,New-Zealand
Rachin Ravindra,10,0,1,7.6,14,0,0,New-Zealand
Glenn Phillips,3,0,2,5.66,5,0,0,New-Zealand
Chris Woakes,6,0,0,7.5,18,0,0,England
Sam Curran,6,2,1,7.83,17,2,0,England
Mark Wood,5,0,0,11,9,1,0,England
Moeen Ali,9.2,0,0,6.42,20,0,0,England
Adil Rashid,7,0,0,6.71,15,0,0,England
Liam Livingstone,3,0,0,8,7,0,0,England
Aryan Dutt,10,0,1,4.8,37,2,0,Netherlands
Logan van Beek,6,0,1,5,20,1,0,Netherlands
Colin Ackermann,8,1,2,4.87,26,0,0,Netherlands
Paul van Meekeren,6,0,1,6.66,16,2,0,Netherlands
Bas de Leede,9,0,4,6.88,22,3,0,Netherlands
Roelof van der Merwe,6,0,0,6,14,0,1,Netherlands
Vikramjit Singh,2,0,0,8,5,0,0,Netherlands
Saqib Zulfiqar,2,0,0,7.5,3,0,0,Netherlands
Shaheen Shah Afridi,7,0,1,5.28,26,2,0,Pakistan
Hasan Ali,7,1,2,4.71,31,4,0,Pakistan
Haris Rauf,9,0,3,4.77,33,2,0,Pakistan
Iftikhar Ahmed,3,0,1,5.33,7,0,0,Pakistan
Mohammad Nawaz,7,0,1,4.42,23,0,0,Pakistan
Shadab Khan,8,0,1,5.62,23,1,0,Pakistan
Taskin Ahmed,6,0,1,5.33,23,1,0,Bangladesh
Shoriful Islam,6.2,1,2,5.36,23,2,0,Bangladesh
Mustafizur Rahman,7,1,1,4,26,0,0,Bangladesh
Shakib Al Hasan,8,0,3,3.75,28,0,0,Bangladesh
Mehidy Hasan Miraz,9,3,3,2.77,38,1,0,Bangladesh
Mahmudullah,1,0,0,7,3,0,0,Bangladesh
Fazalhaq Farooqi,5,0,1,3.8,22,2,0,Afghanistan
Mujeeb Ur Rahman,7,0,0,4.28,26,0,0,Afghanistan
Naveen-ul-Haq,5.4,0,1,5.47,14,1,1,Afghanistan
Rashid Khan,9,0,0,5.33,24,0,0,Afghanistan
Mohammad Nabi,6,1,0,3,20,1,0,Afghanistan
Azmatullah Omarzai,2,0,1,4.5,7,0,0,Afghanistan
Kasun Rajitha,10,1,1,9,24,2,0,Sri-Lanka
Dilshan Madushanka,10,0,2,8.6,25,3,1,Sri-Lanka
Dasun Shanaka,6,0,0,6,10,0,0,Sri-Lanka
Dhananjaya de Silva,4,0,0,9.75,9,1,0,Sri-Lanka
Matheesha Pathirana,10,0,1,9.5,22,5,0,Sri-Lanka
Dunith Wellalage,10,0,1,8.1,27,2,0,Sri-Lanka
Lungi Ngidi,8,1,1,6.12,30,2,0,South-Africa
Marco Jansen,10,0,2,9.2,31,3,0,South-Africa
Kagiso Rabada,7.5,0,2,6.38,22,2,1,South-Africa
Keshav Maharaj,10,0,2,6.2,33,2,0,South-Africa
Gerald Coetzee,9,0,3,7.55,26,1,0,South-Africa
Jasprit Bumrah,10,0,2,3.5,41,4,0,India
Mohammed Siraj,6.3,1,1,4,26,2,0,India
Hardik Pandya,3,0,1,9.33,8,0,0,India
Ravichandran Ashwin,10,1,1,3.4,32,0,0,India
Kuldeep Yadav,10,0,2,4.2,31,0,0,India
Ravindra Jadeja,10,2,3,2.8,38,0,0,India
Mitchell Starc,8,0,1,3.87,28,3,0,Australia
Josh Hazlewood,9,1,3,4.22,33,1,0,Australia
Pat Cummins,6.2,0,0,5.21,19,1,1,Australia
Glenn Maxwell,8,0,0,4.12,24,0,0,Australia
Cameron Green,2,0,0,5.5,7,0,0,Australia
Adam Zampa,8,0,0,6.62,13,0,0,Australia
Aryan Dutt,10,2,2,6.2,31,1,0,Netherlands
Ryan Klein,7,1,0,5.85,25,1,0,Netherlands
Paul van Meekeren,9,0,2,6.55,28,0,1,Netherlands
Roelof van der Merwe,9,0,2,6.22,20,0,0,Netherlands
Colin Ackermann,4,0,0,7,9,0,0,Netherlands
Bas de Leede,10,0,1,6.4,28,0,1,Netherlands
Vikramjit Singh,1,0,0,9,1,0,0,Netherlands
Trent Boult,8,0,0,4.25,29,1,0,New-Zealand
Matt Henry,8.3,0,3,4.7,29,0,0,New-Zealand
Mitchell Santner,10,0,5,5.9,30,0,0,New-Zealand
Lockie Ferguson,8,0,0,4,31,0,0,New-Zealand
Rachin Ravindra,10,0,1,4.6,30,0,1,New-Zealand
Glenn Phillips,2,0,0,5.5,2,0,0,New-Zealand
